#  magF106  comp_20m  comp_1h
18.700  1.00  1.00
18.900  nan  nan
19.100  1.00  1.00
19.300  1.00  1.00
19.500  1.00  1.00
19.700  1.00  1.00
19.900  1.00  1.00
20.100  1.00  1.00
20.300  1.00  1.00
20.500  1.00  1.00
20.700  1.00  1.00
20.900  1.00  1.00
21.100  1.00  1.00
21.300  1.00  1.00
21.500  1.00  1.00
21.700  1.00  1.00
21.900  1.00  1.00
22.100  0.94  1.00
22.300  1.00  1.00
22.500  1.00  1.00
22.700  1.00  1.00
22.900  0.95  1.00
23.100  0.97  1.00
23.300  1.00  1.00
23.500  1.00  1.00
23.700  1.00  1.00
23.900  0.89  1.00
24.100  0.82  1.00
24.300  1.00  1.00
24.500  0.95  1.00
24.700  0.96  1.00
24.900  0.92  0.97
25.100  0.66  1.00
25.300  0.92  1.00
25.500  0.82  0.96
25.700  0.74  1.00
25.900  0.72  1.00
26.100  0.53  0.95
26.300  0.68  1.00
26.500  0.23  0.89
26.700  0.64  0.92
26.900  0.24  0.97
27.100  0.39  0.87
27.300  0.16  0.88
27.500  0.15  0.86
27.700  0.04  0.28
27.900  0.00  0.00
28.100  0.00  0.00
28.300  0.00  0.00
28.500  0.00  0.00
28.700  0.00  0.00
28.900  0.00  0.00
29.100  0.00  0.00
29.300  nan  nan
29.500  nan  nan
29.700  nan  nan
