#  z  dl_cm  age_gyr  dl_K_sum
0.0100  1.33186313e+26  1.33230e+01  34.641
0.0110  1.46616781e+26  1.33093e+01  34.844
0.0120  1.60067495e+26  1.32955e+01  35.029
0.0130  1.73538435e+26  1.32818e+01  35.199
0.0140  1.87029578e+26  1.32681e+01  35.356
0.0150  2.00540904e+26  1.32544e+01  35.501
0.0160  2.14072390e+26  1.32408e+01  35.637
0.0170  2.27624014e+26  1.32271e+01  35.765
0.0180  2.41195756e+26  1.32135e+01  35.885
0.0190  2.54787593e+26  1.31999e+01  35.998
0.0200  2.68399504e+26  1.31863e+01  36.105
0.0210  2.82031468e+26  1.31728e+01  36.207
0.0220  2.95683462e+26  1.31592e+01  36.304
0.0230  3.09355464e+26  1.31457e+01  36.396
0.0240  3.23047454e+26  1.31322e+01  36.485
0.0250  3.36759410e+26  1.31187e+01  36.569
0.0260  3.50491310e+26  1.31053e+01  36.650
0.0270  3.64243132e+26  1.30918e+01  36.727
0.0280  3.78014855e+26  1.30784e+01  36.802
0.0290  3.91806458e+26  1.30650e+01  36.874
0.0300  4.05617918e+26  1.30516e+01  36.943
0.0310  4.19449214e+26  1.30382e+01  37.010
0.0320  4.33300324e+26  1.30249e+01  37.074
0.0330  4.47171228e+26  1.30116e+01  37.136
0.0340  4.61061903e+26  1.29982e+01  37.196
0.0350  4.74972327e+26  1.29850e+01  37.255
0.0360  4.88902480e+26  1.29717e+01  37.311
0.0370  5.02852339e+26  1.29584e+01  37.366
0.0380  5.16821884e+26  1.29452e+01  37.419
0.0390  5.30811092e+26  1.29320e+01  37.470
0.0400  5.44819942e+26  1.29188e+01  37.521
0.0410  5.58848413e+26  1.29056e+01  37.569
0.0420  5.72896483e+26  1.28925e+01  37.617
0.0430  5.86964130e+26  1.28793e+01  37.663
0.0440  6.01051333e+26  1.28662e+01  37.708
0.0450  6.15158071e+26  1.28531e+01  37.752
0.0460  6.29284321e+26  1.28400e+01  37.795
0.0470  6.43430063e+26  1.28269e+01  37.837
0.0480  6.57595275e+26  1.28139e+01  37.878
0.0490  6.71779935e+26  1.28009e+01  37.918
0.0500  6.85984023e+26  1.27879e+01  37.956
0.0510  7.00207516e+26  1.27749e+01  37.995
0.0520  7.14450393e+26  1.27619e+01  38.032
0.0530  7.28712632e+26  1.27489e+01  38.069
0.0540  7.42994213e+26  1.27360e+01  38.104
0.0550  7.57295114e+26  1.27231e+01  38.139
0.0560  7.71615313e+26  1.27102e+01  38.174
0.0570  7.85954789e+26  1.26973e+01  38.207
0.0580  8.00313521e+26  1.26845e+01  38.240
0.0590  8.14691486e+26  1.26716e+01  38.273
0.0600  8.29088665e+26  1.26588e+01  38.305
0.0610  8.43505034e+26  1.26460e+01  38.336
0.0620  8.57940574e+26  1.26332e+01  38.367
0.0630  8.72395262e+26  1.26204e+01  38.397
0.0640  8.86869077e+26  1.26077e+01  38.426
0.0650  9.01361998e+26  1.25949e+01  38.456
0.0660  9.15874004e+26  1.25822e+01  38.484
0.0670  9.30405073e+26  1.25695e+01  38.512
0.0680  9.44955184e+26  1.25568e+01  38.540
0.0690  9.59524315e+26  1.25442e+01  38.568
0.0700  9.74112445e+26  1.25315e+01  38.595
0.0710  9.88719553e+26  1.25189e+01  38.621
0.0720  1.00334562e+27  1.25063e+01  38.647
0.0730  1.01799062e+27  1.24937e+01  38.673
0.0740  1.03265453e+27  1.24811e+01  38.698
0.0750  1.04733734e+27  1.24686e+01  38.723
0.0760  1.06203902e+27  1.24561e+01  38.748
0.0770  1.07675954e+27  1.24435e+01  38.772
0.0780  1.09149890e+27  1.24310e+01  38.797
0.0790  1.10625707e+27  1.24185e+01  38.820
0.0800  1.12103402e+27  1.24061e+01  38.844
0.0810  1.13582974e+27  1.23936e+01  38.867
0.0820  1.15064420e+27  1.23812e+01  38.890
0.0830  1.16547738e+27  1.23688e+01  38.913
0.0840  1.18032927e+27  1.23564e+01  38.936
0.0850  1.19519983e+27  1.23440e+01  38.958
0.0860  1.21008906e+27  1.23317e+01  38.980
0.0870  1.22499692e+27  1.23193e+01  39.002
0.0880  1.23992340e+27  1.23070e+01  39.024
0.0890  1.25486848e+27  1.22947e+01  39.046
0.0900  1.26983213e+27  1.22824e+01  39.067
0.0910  1.28481433e+27  1.22701e+01  39.089
0.0920  1.29981507e+27  1.22579e+01  39.110
0.0930  1.31483432e+27  1.22456e+01  39.130
0.0940  1.32987206e+27  1.22334e+01  39.151
0.0950  1.34492826e+27  1.22212e+01  39.172
0.0960  1.36000292e+27  1.22090e+01  39.192
0.0970  1.37509600e+27  1.21968e+01  39.212
0.0980  1.39020749e+27  1.21847e+01  39.232
0.0990  1.40533737e+27  1.21725e+01  39.251
