#    Redshift    mF106
0.5000  22.4199
0.5001  22.4202
0.5002  22.4205
0.5003  22.4208
0.5004  22.4211
0.5005  22.4214
0.5006  22.4217
0.5007  22.4220
0.5008  22.4224
0.5009  22.4227
0.5010  22.4230
0.5011  22.4233
0.5012  22.4236
0.5013  22.4239
0.5014  22.4242
0.5015  22.4245
0.5016  22.4248
0.5017  22.4251
0.5018  22.4254
0.5019  22.4257
0.5020  22.4259
0.5021  22.4262
0.5022  22.4265
0.5023  22.4268
0.5024  22.4271
0.5025  22.4274
0.5026  22.4277
0.5027  22.4280
0.5028  22.4283
0.5029  22.4286
0.5030  22.4289
0.5031  22.4292
0.5032  22.4294
0.5033  22.4297
0.5034  22.4300
0.5035  22.4303
0.5036  22.4306
0.5037  22.4309
0.5038  22.4312
0.5039  22.4314
0.5040  22.4317
0.5041  22.4320
0.5042  22.4323
0.5043  22.4326
0.5044  22.4329
0.5045  22.4331
0.5046  22.4334
0.5047  22.4337
0.5048  22.4340
0.5049  22.4343
0.5050  22.4345
0.5051  22.4348
0.5052  22.4351
0.5053  22.4354
0.5054  22.4356
0.5055  22.4359
0.5056  22.4362
0.5057  22.4365
0.5058  22.4367
0.5059  22.4370
0.5060  22.4373
0.5061  22.4376
0.5062  22.4378
0.5063  22.4381
0.5064  22.4384
0.5065  22.4386
0.5066  22.4389
0.5067  22.4392
0.5068  22.4394
0.5069  22.4397
0.5070  22.4400
0.5071  22.4403
0.5072  22.4405
0.5073  22.4408
0.5074  22.4411
0.5075  22.4413
0.5076  22.4416
0.5077  22.4418
0.5078  22.4421
0.5079  22.4424
0.5080  22.4426
0.5081  22.4429
0.5082  22.4432
0.5083  22.4434
0.5084  22.4437
0.5085  22.4440
0.5086  22.4442
0.5087  22.4445
0.5088  22.4447
0.5089  22.4450
0.5090  22.4453
0.5091  22.4455
0.5092  22.4458
0.5093  22.4460
0.5094  22.4463
0.5095  22.4465
0.5096  22.4468
0.5097  22.4471
0.5098  22.4473
0.5099  22.4476
0.5100  22.4478
0.5101  22.4481
0.5102  22.4483
0.5103  22.4486
0.5104  22.4488
0.5105  22.4491
0.5106  22.4493
0.5107  22.4496
0.5108  22.4498
0.5109  22.4501
0.5110  22.4504
0.5111  22.4506
0.5112  22.4509
0.5113  22.4511
0.5114  22.4514
0.5115  22.4516
0.5116  22.4519
0.5117  22.4521
0.5118  22.4524
0.5119  22.4526
0.5120  22.4529
0.5121  22.4531
0.5122  22.4534
0.5123  22.4536
0.5124  22.4538
0.5125  22.4541
0.5126  22.4543
0.5127  22.4546
0.5128  22.4548
0.5129  22.4551
0.5130  22.4553
0.5131  22.4556
0.5132  22.4558
0.5133  22.4561
0.5134  22.4563
0.5135  22.4565
0.5136  22.4568
0.5137  22.4570
0.5138  22.4573
0.5139  22.4575
0.5140  22.4578
0.5141  22.4580
0.5142  22.4583
0.5143  22.4585
0.5144  22.4587
0.5145  22.4590
0.5146  22.4592
0.5147  22.4595
0.5148  22.4597
0.5149  22.4600
0.5150  22.4602
0.5151  22.4604
0.5152  22.4607
0.5153  22.4609
0.5154  22.4612
0.5155  22.4614
0.5156  22.4616
0.5157  22.4619
0.5158  22.4621
0.5159  22.4624
0.5160  22.4626
0.5161  22.4628
0.5162  22.4631
0.5163  22.4633
0.5164  22.4636
0.5165  22.4638
0.5166  22.4640
0.5167  22.4643
0.5168  22.4645
0.5169  22.4647
0.5170  22.4650
0.5171  22.4652
0.5172  22.4655
0.5173  22.4657
0.5174  22.4659
0.5175  22.4662
0.5176  22.4664
0.5177  22.4666
