# log likelihood values for the three models given below.
# for the good model, ln(L) = -35.52
# for the bad model, ln(L) = -168.97
# for the worse model, ln(L) = -inf
#  lam  flam  ferr  flam_good  flam_bad  flam_worse
10050.000  6.720e-15  6.720e-16  6.618e-15  6.048e-15  5.265e-15
10060.000  6.784e-15  6.784e-16  6.578e-15  6.048e-15  5.392e-15
10070.000  6.212e-15  6.212e-16  6.579e-15  6.047e-15  5.228e-15
10080.000  6.445e-15  6.445e-16  6.575e-15  6.065e-15  5.033e-15
10090.000  6.645e-15  6.645e-16  6.600e-15  6.077e-15  5.269e-15
10100.000  6.765e-15  6.765e-16  6.621e-15  6.075e-15  5.459e-15
10110.000  6.590e-15  6.590e-16  6.612e-15  6.100e-15  5.467e-15
10120.000  6.138e-15  6.138e-16  6.640e-15  6.105e-15  5.306e-15
10130.000  6.725e-15  6.725e-16  6.651e-15  6.092e-15  5.146e-15
10140.000  6.807e-15  6.807e-16  6.637e-15  6.061e-15  5.220e-15
10150.000  6.560e-15  6.560e-16  6.590e-15  5.997e-15  5.485e-15
10160.000  6.293e-15  6.293e-16  6.501e-15  5.996e-15  5.687e-15
10170.000  6.598e-15  6.598e-16  6.499e-15  6.057e-15  5.618e-15
10180.000  6.421e-15  6.421e-16  6.583e-15  6.064e-15  5.432e-15
10190.000  6.489e-15  6.489e-16  6.603e-15  6.069e-15  5.356e-15
10200.000  6.803e-15  6.803e-16  6.606e-15  6.058e-15  5.468e-15
10210.000  6.791e-15  6.791e-16  6.594e-15  6.026e-15  5.371e-15
10220.000  6.663e-15  6.663e-16  6.544e-15  6.034e-15  5.094e-15
10230.000  6.462e-15  6.462e-16  6.552e-15  6.059e-15  5.278e-15
10240.000  6.695e-15  6.695e-16  6.590e-15  6.041e-15  5.618e-15
10250.000  6.657e-15  6.657e-16  6.575e-15  5.978e-15  5.730e-15
10260.000  6.348e-15  6.348e-16  6.477e-15  5.995e-15  5.748e-15
10270.000  6.388e-15  6.388e-16  6.496e-15  6.033e-15  5.653e-15
10280.000  6.729e-15  6.729e-16  6.555e-15  6.043e-15  5.500e-15
10290.000  6.449e-15  6.449e-16  6.569e-15  6.022e-15  5.481e-15
10300.000  6.747e-15  6.747e-16  6.546e-15  5.982e-15  5.498e-15
10310.000  6.599e-15  6.599e-16  6.492e-15  5.960e-15  5.537e-15
10320.000  6.355e-15  6.355e-16  6.455e-15  5.986e-15  5.576e-15
10330.000  6.645e-15  6.645e-16  6.490e-15  6.039e-15  5.561e-15
10340.000  6.737e-15  6.737e-16  6.564e-15  6.039e-15  5.449e-15
10350.000  6.436e-15  6.436e-16  6.565e-15  6.009e-15  5.296e-15
10360.000  6.605e-15  6.605e-16  6.527e-15  5.979e-15  5.230e-15
10370.000  6.378e-15  6.378e-16  6.482e-15  5.988e-15  5.257e-15
10380.000  6.472e-15  6.472e-16  6.490e-15  5.998e-15  5.278e-15
10390.000  6.537e-15  6.537e-16  6.513e-15  5.950e-15  5.250e-15
10400.000  6.478e-15  6.478e-16  6.448e-15  5.918e-15  5.251e-15
10410.000  6.572e-15  6.572e-16  6.399e-15  5.963e-15  5.345e-15
10420.000  6.530e-15  6.530e-16  6.460e-15  6.004e-15  5.457e-15
10430.000  6.451e-15  6.451e-16  6.518e-15  6.006e-15  5.488e-15
10440.000  6.534e-15  6.534e-16  6.522e-15  5.995e-15  5.444e-15
10450.000  6.502e-15  6.502e-16  6.512e-15  5.971e-15  5.336e-15
10460.000  6.369e-15  6.369e-16  6.473e-15  5.955e-15  5.260e-15
