wave	R
0.75	190.987
0.77	181.681
0.79	172.376
0.81	163.969
0.83	156.356
0.85	149.447
0.87	143.17
0.89	137.454
0.91	132.246
0.93	127.497
0.95	123.161
0.97	119.202
0.99	115.587
1.01	112.285
1.03	109.272
1.05	106.523
1.07	104.018
1.09	101.739
1.11	99.6691
1.13	97.7925
1.15	96.0972
1.17	94.5717
1.19	93.2015
1.21	91.9813
1.23	90.8995
1.25	89.9486
1.27	89.1195
1.29	88.4086
1.31	87.8075
1.33	87.3109
1.35	86.9134
1.37	86.6115
1.39	86.3986
1.41	86.2731
1.43	86.2301
1.45	86.2662
1.47	86.3776
1.49	86.5623
1.51	86.8183
1.53	87.1418
1.55	87.5307
1.57	87.9844
1.59	88.4986
1.61	89.0733
1.63	89.7048
1.65	90.3956
1.67	91.1392
1.69	91.9378
1.71	92.7889
1.73	93.692
1.75	94.6444
1.77	95.6481
1.79	96.6991
1.81	97.7983
