# Redshift peak_mF106
1.1288 24.2416
1.6419 25.0905
1.0221 24.2478
2.3085 27.1247
2.0206 26.7459
1.9646 25.6477
1.7550 25.7168
0.6671 23.5553
1.9860 26.8070
1.5496 25.0469
2.0732 26.2042
1.2914 24.8291
1.1014 24.2930
1.0216 24.2587
1.2908 24.4763
3.0346 27.6699
1.5337 24.6313
2.4842 27.5531
1.1817 24.0307
1.0189 23.9551
1.1862 24.4000
1.6414 25.0100
0.8137 23.6938
2.2012 26.9018
1.0229 24.3630
0.7140 23.6266
1.4401 24.6513
0.8255 23.7727
2.7028 29.2721
1.1561 24.7721
1.9714 26.2689
2.3658 26.1117
2.1446 26.5543
-0.1198 20.1717
1.4539 24.6330
2.3046 27.0538
0.8773 24.1282
0.7455 23.5825
0.2528 22.1351
0.1549 20.8236
2.7242 27.3282
1.9529 25.9577
1.1267 24.6315
1.5517 25.0114
2.3951 27.6083
0.3322 22.8343
2.1705 26.6134
1.0852 23.8189
1.7676 25.2083
0.2860 22.4728
1.4658 25.1091
1.5069 25.2380
0.8946 23.7541
0.6160 23.0992
1.7754 25.2847
2.1173 25.6953
1.5684 24.3027
1.7236 25.7549
2.5183 28.0618
1.6863 25.5072
1.8813 25.6230
1.1387 24.0548
1.7521 25.2311
0.5234 23.4052
1.6972 25.4941
1.8010 25.5599
1.8309 25.2788
2.4441 27.3113
1.1979 24.2806
1.3921 25.5216
0.7631 23.4432
0.5308 23.0528
1.2376 24.8671
2.4965 27.8621
0.9882 24.1544
1.3173 24.7700
2.4062 26.7479
1.8819 26.0847
1.3210 24.5987
2.0347 26.1714
1.8994 26.2817
2.4639 28.4263
0.7346 23.4900
2.5789 27.4720
0.6364 23.5398
3.0781 29.6268
0.5892 23.0810
1.5959 24.7880
2.3009 27.2102
1.4520 25.3916
1.3276 24.8675
2.7599 27.4812
0.9512 24.1798
0.6652 23.3455
2.1814 26.8912
2.2239 26.7904
1.2324 25.2156
0.8666 23.4890
1.5556 25.2646
1.0231 24.0232
0.7742 23.7977
1.9341 25.9959
1.3260 25.0582
2.5517 27.1809
0.8993 23.7988
2.0564 25.5305
1.0980 24.1936
1.6565 25.3836
1.6097 24.8838
1.0192 24.1909
1.9917 26.1665
2.4351 28.3580
0.9341 23.7756
1.1734 24.5815
2.5633 27.3253
1.1944 23.9491
2.1982 27.9017
1.4542 25.1939
1.5634 24.9445
1.8896 26.1177
1.1886 24.5736
1.7007 25.5244
1.1643 24.2060
0.6416 23.5507
1.6025 25.6095
1.3491 24.7536
0.8289 23.8909
0.7484 23.7114
2.6721 28.8324
2.0036 25.8307
1.1158 24.4073
1.5223 25.1867
2.0756 25.8950
