# xc  yc  phase  redshift  magF106  Av
3947.000 3965.000 -3 2.474 25.22 0.146
756.000 1960.000 -6 2.697 25.95 0.437
3121.000 150.000 -3 1.893 23.86 0.194
3443.000 2699.000 -5 0.668 22.32 0.038
280.000 2799.000 -4 1.220 23.07 0.019
1407.000 312.000 -4 2.343 24.83 0.548
2046.000 2476.000 -6 2.874 26.36 0.372
3274.000 3166.000 -4 2.914 26.42 0.593
558.000 2893.000 -3 2.953 26.60 0.489
3772.000 3201.000 -3 0.825 22.44 0.278
2401.000 1273.000 -3 2.886 26.37 0.171
1570.000 914.000 -6 1.175 23.28 0.142
3881.000 3648.000 -7 2.953 26.72 0.479
3918.000 3683.000 -6 0.844 22.79 0.210
