#    Redshift    mF106
0.4000  22.5566
0.4001  22.5571
0.4002  22.5576
0.4003  22.5581
0.4004  22.5586
0.4005  22.5591
0.4006  22.5596
0.4007  22.5601
0.4008  22.5606
0.4009  22.5611
0.4010  22.5616
0.4011  22.5621
0.4012  22.5626
0.4013  22.5631
0.4014  22.5636
0.4015  22.5641
0.4016  22.5646
0.4017  22.5651
0.4018  22.5656
0.4019  22.5661
0.4020  22.5666
0.4021  22.5671
0.4022  22.5676
0.4023  22.5681
0.4024  22.5686
0.4025  22.5690
0.4026  22.5695
0.4027  22.5700
0.4028  22.5705
0.4029  22.5710
0.4030  22.5715
0.4031  22.5720
0.4032  22.5725
0.4033  22.5730
0.4034  22.5735
0.4035  22.5740
0.4036  22.5745
0.4037  22.5750
0.4038  22.5755
0.4039  22.5760
0.4040  22.5765
0.4041  22.5770
0.4042  22.5775
0.4043  22.5780
0.4044  22.5785
0.4045  22.5789
0.4046  22.5794
0.4047  22.5799
0.4048  22.5804
0.4049  22.5809
0.4050  22.5814
0.4051  22.5819
0.4052  22.5824
0.4053  22.5829
0.4054  22.5834
0.4055  22.5839
0.4056  22.5844
0.4057  22.5849
0.4058  22.5854
0.4059  22.5859
0.4060  22.5863
0.4061  22.5868
0.4062  22.5873
0.4063  22.5878
0.4064  22.5883
0.4065  22.5888
0.4066  22.5893
0.4067  22.5898
0.4068  22.5903
0.4069  22.5908
0.4070  22.5913
0.4071  22.5918
0.4072  22.5922
0.4073  22.5927
0.4074  22.5932
0.4075  22.5937
0.4076  22.5942
0.4077  22.5947
0.4078  22.5952
0.4079  22.5957
0.4080  22.5962
0.4081  22.5967
0.4082  22.5972
0.4083  22.5976
0.4084  22.5981
0.4085  22.5986
0.4086  22.5991
0.4087  22.5996
0.4088  22.6001
0.4089  22.6006
0.4090  22.6011
0.4091  22.6016
0.4092  22.6021
0.4093  22.6025
0.4094  22.6030
0.4095  22.6035
0.4096  22.6040
0.4097  22.6045
0.4098  22.6050
0.4099  22.6055
0.4100  22.6060
0.4101  22.6065
0.4102  22.6069
0.4103  22.6074
0.4104  22.6079
0.4105  22.6084
0.4106  22.6089
0.4107  22.6094
0.4108  22.6099
0.4109  22.6104
0.4110  22.6108
0.4111  22.6113
0.4112  22.6118
0.4113  22.6123
0.4114  22.6128
0.4115  22.6133
0.4116  22.6138
0.4117  22.6142
0.4118  22.6147
0.4119  22.6152
0.4120  22.6157
0.4121  22.6162
0.4122  22.6167
0.4123  22.6172
0.4124  22.6177
0.4125  22.6181
0.4126  22.6186
0.4127  22.6191
0.4128  22.6196
0.4129  22.6201
0.4130  22.6206
0.4131  22.6211
0.4132  22.6215
0.4133  22.6220
0.4134  22.6225
0.4135  22.6230
0.4136  22.6235
0.4137  22.6240
0.4138  22.6244
0.4139  22.6249
0.4140  22.6254
0.4141  22.6259
0.4142  22.6264
0.4143  22.6269
0.4144  22.6273
0.4145  22.6278
0.4146  22.6283
0.4147  22.6288
0.4148  22.6293
0.4149  22.6298
0.4150  22.6303
0.4151  22.6307
0.4152  22.6312
0.4153  22.6317
0.4154  22.6322
0.4155  22.6327
0.4156  22.6331
0.4157  22.6336
0.4158  22.6341
0.4159  22.6346
0.4160  22.6351
0.4161  22.6356
0.4162  22.6360
0.4163  22.6365
0.4164  22.6370
0.4165  22.6375
0.4166  22.6380
0.4167  22.6385
0.4168  22.6389
0.4169  22.6394
0.4170  22.6399
0.4171  22.6404
0.4172  22.6409
0.4173  22.6413
0.4174  22.6418
0.4175  22.6423
0.4176  22.6428
0.4177  22.6433
0.4178  22.6437
0.4179  22.6442
0.4180  22.6447
0.4181  22.6452
0.4182  22.6457
0.4183  22.6461
0.4184  22.6466
0.4185  22.6471
0.4186  22.6476
0.4187  22.6481
0.4188  22.6485
0.4189  22.6490
0.4190  22.6495
0.4191  22.6500
0.4192  22.6505
0.4193  22.6509
0.4194  22.6514
0.4195  22.6519
0.4196  22.6524
0.4197  22.6529
0.4198  22.6533
0.4199  22.6538
0.4200  22.6543
0.4201  22.6548
0.4202  22.6552
0.4203  22.6557
0.4204  22.6562
0.4205  22.6567
0.4206  22.6572
0.4207  22.6576
0.4208  22.6581
0.4209  22.6586
0.4210  22.6591
0.4211  22.6595
0.4212  22.6600
0.4213  22.6605
0.4214  22.6610
0.4215  22.6614
0.4216  22.6619
0.4217  22.6624
0.4218  22.6629
0.4219  22.6634
0.4220  22.6638
0.4221  22.6643
0.4222  22.6648
0.4223  22.6653
0.4224  22.6657
0.4225  22.6662
0.4226  22.6667
0.4227  22.6672
0.4228  22.6676
0.4229  22.6681
0.4230  22.6686
0.4231  22.6691
0.4232  22.6695
0.4233  22.6700
0.4234  22.6705
0.4235  22.6710
0.4236  22.6714
0.4237  22.6719
0.4238  22.6724
0.4239  22.6729
0.4240  22.6733
0.4241  22.6738
0.4242  22.6743
0.4243  22.6748
0.4244  22.6752
0.4245  22.6757
0.4246  22.6762
0.4247  22.6767
0.4248  22.6771
0.4249  22.6776
0.4250  22.6781
0.4251  22.6785
0.4252  22.6790
0.4253  22.6795
0.4254  22.6800
