Effective area for WFIRST (m^2) - parameters as of 2019 03 25

Mirror surfaces are coated with Ag

   Wave      R062      Z087      Y106      J129      H158      F184      W146    SNPrism   BAO-Grism_1st   BAO-Grism_0th
     0.300    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.305    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.310    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.315    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.320    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.325    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.330    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.335    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.340    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.345    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.350    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.355    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.360    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.365    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.370    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.375    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.380    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.385    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.390    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.395    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.400    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.405    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.410    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.415    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.420    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.425    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.430    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.435    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.440    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.445    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.450    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.455    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.460    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.465    0.0037    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.470    0.0374    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.475    0.1878    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.480    0.5080    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.485    0.8353    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.490    1.0009    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.495    1.0509    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.500    1.0712    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.505    1.0940    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.510    1.1193    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.515    1.1465    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.520    1.1756    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.525    1.2063    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.530    1.2377    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.535    1.2703    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.540    1.3035    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.545    1.3358    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.550    1.3689    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.555    1.4012    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.560    1.4341    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.565    1.4668    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.570    1.4994    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.575    1.5316    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.580    1.5631    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.585    1.5934    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.590    1.6225    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.595    1.6498    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.600    1.6751    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.605    1.6950    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.610    1.7136    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.615    1.7297    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.620    1.7444    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.625    1.7589    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.630    1.7729    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.635    1.7868    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.640    1.8009    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.645    1.8161    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.650    1.8327    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.655    1.8552    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.660    1.8782    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.665    1.9036    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.670    1.9285    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.675    1.9535    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.680    1.9797    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.685    2.0047    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.690    2.0288    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
